concept_code,vocabulary_id,cluster
R87.2,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R87.3,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R87.610,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R87.611,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R87.612,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R87.613,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R87.614,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R87.615,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R87.616,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R87.618,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R87.619,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R87.62,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R87.620,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R87.621,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R87.622,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R87.623,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R87.624,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R87.625,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R87.628,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R87.629,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R87.69,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R87.7,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R87.8,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R87.81,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R87.810,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R87.811,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R87.82,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R87.820,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R87.821,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R87.89,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R87.9,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R88,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R89.2,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R89.3,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R74.0,ICD10CM,abnormal_liver_enzymes
R74.02,ICD10CM,abnormal_liver_enzymes
R74.01,ICD10CM,abnormal_liver_enzymes
R94.5,ICD10CM,abnormal_liver_enzymes
F81.0,ICD10CM,academic_developmental_disorder
F81.2,ICD10CM,academic_developmental_disorder
F81.8,ICD10CM,academic_developmental_disorder
F81.81,ICD10CM,academic_developmental_disorder
F81.89,ICD10CM,academic_developmental_disorder
F81.9,ICD10CM,academic_developmental_disorder
F82,ICD10CM,academic_developmental_disorder
F81,ICD10CM,academic_developmental_disorder
M21.951,ICD10CM,acquired_foot_deformities
M21.939,ICD10CM,acquired_foot_deformities
M21.829,ICD10CM,acquired_foot_deformities
M21.821,ICD10CM,acquired_foot_deformities
M21.859,ICD10CM,acquired_foot_deformities
Z89.119,ICD10CM,acquired_foot_deformities
Z89.029,ICD10CM,acquired_foot_deformities
M21.611,ICD10CM,acquired_foot_deformities
M24.532,ICD10CM,acquired_foot_deformities
Z90.712,ICD10CM,acquired_foot_deformities
Z89.212,ICD10CM,acquired_foot_deformities
M21.231,ICD10CM,acquired_foot_deformities
Z89.209,ICD10CM,acquired_foot_deformities
M21.762,ICD10CM,acquired_foot_deformities
M20.5X9,ICD10CM,acquired_foot_deformities
Z90.49,ICD10CM,acquired_foot_deformities
M21.171,ICD10CM,acquired_foot_deformities
Z89.431,ICD10CM,acquired_foot_deformities
M24.561,ICD10CM,acquired_foot_deformities
M21.241,ICD10CM,acquired_foot_deformities
M21.6X2,ICD10CM,acquired_foot_deformities
M21.532,ICD10CM,acquired_foot_deformities
M21.212,ICD10CM,acquired_foot_deformities
M21.42,ICD10CM,acquired_foot_deformities
Z89.411,ICD10CM,acquired_foot_deformities
Z89.222,ICD10CM,acquired_foot_deformities
M20.41,ICD10CM,acquired_foot_deformities
M95.9,ICD10CM,acquired_foot_deformities
Z90.411,ICD10CM,acquired_foot_deformities
M95.12,ICD10CM,acquired_foot_deformities
M21.511,ICD10CM,acquired_foot_deformities
M21.941,ICD10CM,acquired_foot_deformities
